Timestamp,Sleep(Hours),Monthly_Allowance,Stay,Gaming(Hours),CGPA,Food,Committees,Games,Stream,Gender,College
18/10/2019 13:20:45,6,15000-20000,With Parents,3,3.02,Canteen,3,PUBG,DS,Male,MPSTME
18/10/2019 12:10:00,5,0-5000,With Parents,1,3.01,Homemade meal,1,,CS,Female,MPSTME
18/10/2019 12:04:57,4,0-5000,With Parents,2,3,Homemade meal,0,"CS, Batman ",CS,Male,MPSTME
18/10/2019 12:17:09,7,10000-15000,With Parents,0,3,Homemade meal,0,,Civil,Male,MPSTME
18/10/2019 12:21:14,2,10000-15000,Flat,1,3,Ordering in,2,PUBG,Mechanical,Male,MPSTME
18/10/2019 12:21:54,8,15000-20000,Hostel,0,3,Ordering in,1,,CS,Female,MPSTME
18/10/2019 12:37:22,5,5000-10000,With Parents,1,3,Homemade meal,1,Detroit,DS,Male,MPSTME
18/10/2019 12:44:06,7,0-5000,With Parents,2,3,Homemade meal,0,"PUBG, FIFA",DS,Male,MPSTME
18/10/2019 13:14:08,6,15000-20000,With Parents,1,3,Canteen,4,FIFA,DS,Male,MPSTME
18/10/2019 13:00:52,7,10000-15000,Flat,1,2.98,Homemade meal,1,,CS,Male,MPSTME
18/10/2019 12:13:31,4,10000-15000,PG,2,2.97,Homemade meal,0,FIFA,Civil,Male,MPSTME
18/10/2019 12:28:45,6,5000-10000,With Parents,8,2.95,Homemade meal,2,"COD, Fortnite",EXTC,Male,MPSTME
18/10/2019 12:35:42,5,0-5000,With Parents,2,2.92,Homemade meal,2,COD,,Male,
18/10/2019 12:25:16,7,10000-15000,Flat,0,2.92,Going out,1,,EXTC,Female,MPSTME
18/10/2019 11:50:14,8,5000-10000,With Parents,2,2.9,Homemade meal,0,,,,
18/10/2019 12:10:30,6,0-5000,With Parents,2,2.9,Homemade meal,1,Story Games,Mechatronics,Male,MPSTME
18/10/2019 12:14:38,6,15000-20000,With Parents,0,2.9,Homemade meal,0,,Mechatronics,Male,MPSTME
18/10/2019 12:15:33,6,10000-15000,With Parents,2,2.9,Homemade meal,0,IMessage,Mechatronics,Male,MPSTME
18/10/2019 13:03:55,5,5000-10000,With Parents,0,2.9,Homemade meal,1,,Mechatronics,Male,MPSTME
18/10/2019 13:04:38,5,5000-10000,With Parents,0,2.9,Homemade meal,1,,Mechatronics,Male,MPSTME
18/10/2019 13:09:32,5,5000-10000,With Parents,5,2.9,Homemade meal,0,CS ,DS,Male,MPSTME
18/10/2019 13:15:20,6,0-5000,With Parents,3,2.9,Canteen,1,God of War,DS,Male,MPSTME
18/10/2019 13:30:16,7,10000-15000,With Parents,0,2.9,Homemade meal,1,,Chemical,Female,MPSTME
18/10/2019 12:25:16,4,5000-10000,With Parents,3,2.88,Ordering in,2,"Just Cause, FIFA, GTA",EXTC,Male,MPSTME
18/10/2019 12:23:55,8,10000-15000,Flat,0,2.85,Homemade meal,0,,IT,Female,MPSTME
18/10/2019 13:23:42,8,5000-10000,Hostel,0,2.81,Ordering in,0,,Electrical,Male,BITS Pilani
18/10/2019 12:06:45,7,10000-15000,Flat,1,2.8,Homemade meal,0,FIFA,Civil,Male,MPSTME
18/10/2019 12:07:59,7,5000-10000,Flat,2,2.8,Homemade meal,2,Temple run,Civil,Female,MPSTME
18/10/2019 14:36:27,5,0-5000,With Parents,1,2.8,Homemade meal,0,Simulation,Commerce,Male,KJSC Arts and Commerce
18/10/2019 13:11:14,9,0-5000,With Parents,1,2.8,Ordering in,2,"Candy Crush, FIFA",BMM,Female,S.K.SOMAIYA DEGREE COLLEGE 
18/10/2019 12:22:53,8,15000-20000,Flat,2,2.75,Homemade meal,2,PUBG,IT,Female,MPSTME
18/10/2019 13:47:58,7,10000-15000,With Parents,1,2.75,Ordering in,1,FIFA,Mechanical,Male,MPSTME
18/10/2019 12:05:00,10,20000-25000,With Parents,5,2.72,Ordering in,0,Fortnite,DS,Male,MPSTME
18/10/2019 13:08:50,6,10000-15000,Flat,0,2.7,Ordering in,0,,Interior Designing,Female,ISDI
18/10/2019 13:20:12,6,20000-25000,Flat,1,2.7,Homemade meal,1,PUBG,Civil,Male,MPSTME
18/10/2019 12:38:15,3,10000-15000,Flat,9,2.69,Homemade meal,1,PUBG,CS,Male,MPSTME
18/10/2019 12:16:25,8,10000-15000,Flat,0,2.68,Homemade meal,0,,Civil,Female,MPSTME
18/10/2019 13:09:51,6,5000-10000,With Parents,1,2.6,Homemade meal,2,Real racing 3,Mechanical,Male,MPSTME
18/10/2019 12:48:22,7,0-5000,With Parents,1,2.59,Homemade meal,0,"COD, PUBG",IT,Male,MPSTME
18/10/2019 12:31:50,6,5000-10000,With Parents,3,2.5,Homemade meal,1,COD,Chemical,Male,MPSTME
18/10/2019 12:43:49,7,10000-15000,PG,4,2.5,Homemade meal,0,COD,IT,Male,MPSTME
18/10/2019 12:03:57,6,15000-20000,Flat,2.5,2.4,Homemade meal,2,,DS,Male,MPSTME
18/10/2019 12:31:15,6,10000-15000,With Parents,1,2.4,Homemade meal,2,COD,Chemical,Male,MPSTME
18/10/2019 12:57:48,8,10000-15000,Flat,4,2.4,Ordering in,1,"PUBG, Mini Militia",CS,Male,MPSTME
